"ticker","name","exchange","industry_raw","industry_key","fetched_at","source"
"1101.TW","臺灣水泥股份有限公司","TWSE","01","lab.Unmapped","2026-09-13T13:36:04Z","tw_boards|twse:twse_openapi|tpex:mopsfin_t187ap03_O_csv|esb:tpex_openapi_esb"
"1102.TW","亞洲水泥股份有限公司","TWSE","01","lab.Unmapped","2026-09-13T13:36:04Z","tw_boards|twse:twse_openapi|tpex:mopsfin_t187ap03_O_csv|esb:tpex_openapi_esb"
"1103.TW","嘉新水泥股份有限公司","TWSE","01","lab.Unmapped","2026-09-13T13:36:04Z","tw_boards|twse:twse_openapi|tpex:mopsfin_t187ap03_O_csv|esb:tpex_openapi_esb"
"1104.TW","環球水泥股份有限公司","TWSE","01","lab.Unmapped","2026-09-13T13:36:04Z","tw_boards|twse:twse_openapi|tpex:mopsfin_t187ap03_O_csv|esb:tpex_openapi_esb"
"1108.TW","幸福水泥股份有限公司","TWSE","01","lab.Unmapped","2026-09-13T13:36:04Z","tw_boards|twse:twse_openapi|tpex:mopsfin_t187ap03_O_csv|esb:tpex_openapi_esb"
"1109.TW","信大水泥股份有限公司","TWSE","01","lab.Unmapped","2026-09-13T13:36:04Z","tw_boards|twse:twse_openapi|tpex:mopsfin_t187ap03_O_csv|esb:tpex_openapi_esb"
"1110.TW","東南水泥股份有限公司","TWSE","01","lab.Unmapped","2026-09-13T13:36:04Z","tw_boards|twse:twse_openapi|tpex:mopsfin_t187ap03_O_csv|esb:tpex_openapi_esb"
"1201.TW","味全食品工業股份有限公司","TWSE","02","lab.Unmapped","2026-09-13T13:36:04Z","tw_boards|twse:twse_openapi|tpex:mopsfin_t187ap03_O_csv|esb:tpex_openapi_esb"
"1203.TW","味王股份有限公司","TWSE","02","lab.Unmapped","2026-09-13T13:36:04Z","tw_boards|twse:twse_openapi|tpex:mopsfin_t187ap03_O_csv|esb:tpex_openapi_esb"
"1210.TW","大成長城企業股份有限公司","TWSE","02","lab.Unmapped","2026-09-13T13:36:04Z","tw_boards|twse:twse_openapi|tpex:mopsfin_t187ap03_O_csv|esb:tpex_openapi_esb"
"1213.TW","大西洋飲料股份有限公司","TWSE","02","lab.Unmapped","2026-09-13T13:36:04Z","tw_boards|twse:twse_openapi|tpex:mopsfin_t187ap03_O_csv|esb:tpex_openapi_esb"
"1215.TW","台灣卜蜂企業股份有限公司","TWSE","02","lab.Unmapped","2026-09-13T13:36:04Z","tw_boards|twse:twse_openapi|tpex:mopsfin_t187ap03_O_csv|esb:tpex_openapi_esb"
"1216.TW","統一企業股份有限公司","TWSE","02","lab.Unmapped","2026-09-13T13:36:04Z","tw_boards|twse:twse_openapi|tpex:mopsfin_t187ap03_O_csv|esb:tpex_openapi_esb"
