"ticker","name","gics_sector","gics_sub_industry","fetched_at","source"
"MMM","3M","Industrials","Industrial Conglomerates","2026-08-15T18:16:03Z","wikipedia"
"AOS","A. O. Smith","Industrials","Building Products","2026-08-15T18:16:03Z","wikipedia"
"ABT","Abbott Laboratories","Health Care","Health Care Equipment","2026-08-15T18:16:03Z","wikipedia"
"ABBV","AbbVie","Health Care","Biotechnology","2026-08-15T18:16:03Z","wikipedia"
"ACN","Accenture","Information Technology","IT Consulting & Other Services","2026-08-15T18:16:03Z","wikipedia"
"ADBE","Adobe Inc.","Information Technology","Application Software","2026-08-15T18:16:03Z","wikipedia"
"AMD","Advanced Micro Devices","Information Technology","Semiconductors","2026-08-15T18:16:03Z","wikipedia"
"AES","AES Corporation","Utilities","Independent Power Producers & Energy Traders","2026-08-15T18:16:03Z","wikipedia"
"AFL","Aflac","Financials","Life & Health Insurance","2026-08-15T18:16:03Z","wikipedia"
"A","Agilent Technologies","Health Care","Life Sciences Tools & Services","2026-08-15T18:16:03Z","wikipedia"
"APD","Air Products","Materials","Industrial Gases","2026-08-15T18:16:03Z","wikipedia"
"ABNB","Airbnb","Consumer Discretionary","Hotels, Resorts & Cruise Lines","2026-08-15T18:16:03Z","wikipedia"
"AKAM","Akamai Technologies","Information Technology","Internet Services & Infrastructure","2026-08-15T18:16:03Z","wikipedia"
"ALB","Albemarle Corporation","Materials","Specialty Chemicals","2026-08-15T18:16:03Z","wikipedia"
"ARE","Alexandria Real Estate Equities","Real Estate","Office REITs","2026-08-15T18:16:03Z","wikipedia"
"ALGN","Align Technology","Health Care","Health Care Supplies","2026-08-15T18:16:03Z","wikipedia"
"ALLE","Allegion","Industrials","Building Products","2026-08-15T18:16:03Z","wikipedia"
"LNT","Alliant Energy","Utilities","Electric Utilities","2026-08-15T18:16:03Z","wikipedia"
"ALL","Allstate","Financials","Property & Casualty Insurance","2026-08-15T18:16:03Z","wikipedia"
"GOOGL","Alphabet Inc. (Class A)","Communication Services","Interactive Media & Services","2026-08-15T18:16:03Z","wikipedia"
"GOOG","Alphabet Inc. (Class C)","Communication Services","Interactive Media & Services","2026-08-15T18:16:03Z","wikipedia"
"MO","Altria","Consumer Staples","Tobacco","2026-08-15T18:16:03Z","wikipedia"
"AMZN","Amazon","Consumer Discretionary","Broadline Retail","2026-08-15T18:16:03Z","wikipedia"
"AMCR","Amcor","Materials","Paper & Plastic Packaging Products & Materials","2026-08-15T18:16:03Z","wikipedia"
"AEE","Ameren","Utilities","Multi-Utilities","2026-08-15T18:16:03Z","wikipedia"
"AEP","American Electric Power","Utilities","Electric Utilities","2026-08-15T18:16:03Z","wikipedia"
"AXP","American Express","Financials","Consumer Finance","2026-08-15T18:16:03Z","wikipedia"
"AIG","American International Group","Financials","Multi-line Insurance","2026-08-15T18:16:03Z","wikipedia"
"AMT","American Tower","Real Estate","Telecom Tower REITs","2026-08-15T18:16:03Z","wikipedia"
"AWK","American Water Works","Utilities","Water Utilities","2026-08-15T18:16:03Z","wikipedia"
"AMP","Ameriprise Financial","Financials","Asset Management & Custody Banks","2026-08-15T18:16:03Z","wikipedia"
"AME","Ametek","Industrials","Electrical Components & Equipment","2026-08-15T18:16:03Z","wikipedia"
"AMGN","Amgen","Health Care","Biotechnology","2026-08-15T18:16:03Z","wikipedia"
"APH","Amphenol","Information Technology","Electronic Components","2026-08-15T18:16:03Z","wikipedia"
"ADI","Analog Devices","Information Technology","Semiconductors","2026-08-15T18:16:03Z","wikipedia"
"AON","Aon plc","Financials","Insurance Brokers","2026-08-15T18:16:03Z","wikipedia"
"APA","APA Corporation","Energy","Oil & Gas Exploration & Production","2026-08-15T18:16:03Z","wikipedia"
"APO","Apollo Global Management","Financials","Asset Management & Custody Banks","2026-08-15T18:16:03Z","wikipedia"
