ticker,name,market_cap,ROE,Operating_Margin,Rev_YoY,OpInc_YoY,Debt_Ratio,PE_Ratio,PB_Ratio,snapshot_at
MMM,3M Company,85553192960.0,81.891996,20.354,2.5,28.999999999999996,437.937,29.517794,28.981482,2026-09-19T11:29:32Z
AOS,A.O. Smith Corporation,7739993600.0,27.133000000000003,18.929000000000002,-0.7000000000000001,-17.9,36.766,15.86351,4.202332,2026-09-19T11:29:32Z
ABT,Abbott Laboratories,177554636800.0,10.576,14.706999000000001,13.0,-47.8,63.212,33.20712,3.4739478,2026-09-19T11:29:32Z
ABBV,AbbVie Inc.,466448285696.0,,40.035,10.2,2.852,,74.56497,,2026-09-19T11:29:32Z
ACN,Accenture plc,110938972160.0,24.406,16.964000000000002,5.6000000000000005,6.4,25.035,15.196143,3.4782524,2026-09-19T11:29:32Z
ADBE,Adobe Inc.,98945695744.0,61.902,34.821999999999996,12.9,3.1,57.48,13.890625,8.358068,2026-09-19T11:29:32Z
AMD,"Advanced Micro Devices, Inc.",913892179968.0,10.196,17.25,50.1,1.634,6.361,142.81122,13.590833,2026-09-19T11:29:32Z
AES,The AES Corporation,10580295680.0,9.5740005,18.673000000000002,19.900000000000002,,256.886,5.554307,2.1399713,2026-09-19T11:29:32Z
AFL,AFLAC Incorporated,58321264640.0,16.908,25.722998000000004,-1.0,37.7,53.365,12.549083,1.9275252,2026-09-19T11:29:32Z
A,"Agilent Technologies, Inc.",44119191552.0,20.971,25.558999999999997,8.1,7.7,56.336,30.861933,5.9920344,2026-09-19T11:29:32Z
APD,"Air Products and Chemicals, Inc",63282774016.0,0.023,25.535999999999998,4.6,,110.091,19.684336,4.5580378,2026-09-19T11:29:32Z
ABNB,"Airbnb, Inc.",99530153984.0,34.542,21.009000999999998,16.5,27.1,32.004,37.863327,12.574325,2026-09-19T11:29:32Z
AKAM,"Akamai Technologies, Inc.",15021259776.0,8.918,7.6290004,5.4,-23.400000000000002,196.672,38.71111,3.1605685,2026-09-19T11:29:32Z
ALB,Albemarle Corporation,13087941632.0,2.648,27.71,31.1,19.962,18.976,410.77777,1.6276784,2026-09-19T11:29:32Z
ARE,Alexandria Real Estate Equities,9172678656.0,-4.0760003000000005,17.282,-11.899999999999999,,68.67,,0.5850521,2026-09-19T11:29:32Z
ALGN,"Align Technology, Inc.",10486193152.0,10.155,18.247,4.3,-13.100000000000001,285.5,25.987677,2.484724,2026-09-19T11:29:32Z
ALLE,Allegion plc,12949401600.0,33.73,22.102,12.7,15.6,104.895,20.010511,6.113944,2026-09-19T11:29:32Z
LNT,Alliant Energy Corporation,17010373632.0,11.135,19.053,1.0,-2.3,160.951,20.761076,2.2592812,2026-09-19T11:29:32Z
ALL,Allstate Corporation (The),63171502080.0,46.113998,22.827,11.799999999999999,55.1,22.261,5.0026035,2.0019872,2026-09-19T11:29:32Z
GOOGL,Alphabet Inc.,4274851676160.0,48.676,34.033,24.2,2.979,18.859,17.54719,6.8677306,2026-09-19T11:29:32Z
GOOG,Alphabet Inc.,4212111966208.0,48.676,34.033,24.2,2.979,18.859,17.272316,6.766937,2026-09-19T11:29:32Z
MO,"Altria Group, Inc.",116080590848.0,,76.12,1.2,-3.4000000000000004,,14.635789,,2026-09-19T11:29:32Z
AMZN,"Amazon.com, Inc.",2736595664896.0,30.558002000000002,13.689000000000002,19.6,2.449,45.617,20.19984,4.959536,2026-09-19T11:29:32Z
