"ticker","name","exchange","gics_sector","gics_sub_industry","fetched_at","source"
"MMM","3M","NYSE","Industrials","Industrial Conglomerates","2026-08-15T18:16:03Z","wikipedia"
"AOS","A. O. Smith","NYSE","Industrials","Building Products","2026-08-15T18:16:03Z","wikipedia"
"ABT","Abbott Laboratories","NYSE","Health Care","Health Care Equipment","2026-08-15T18:16:03Z","wikipedia"
"ABBV","AbbVie","NYSE","Health Care","Biotechnology","2026-08-15T18:16:03Z","wikipedia"
"ACN","Accenture","NYSE","Information Technology","IT Consulting & Other Services","2026-08-15T18:16:03Z","wikipedia"
"ADBE","Adobe Inc.","NASDAQ","Information Technology","Application Software","2026-08-15T18:16:03Z","wikipedia"
"AMD","Advanced Micro Devices","NASDAQ","Information Technology","Semiconductors","2026-08-15T18:16:03Z","wikipedia"
"AES","AES Corporation","NYSE","Utilities","Independent Power Producers & Energy Traders","2026-08-15T18:16:03Z","wikipedia"
"AFL","Aflac","NYSE","Financials","Life & Health Insurance","2026-08-15T18:16:03Z","wikipedia"
"A","Agilent Technologies","NYSE","Health Care","Life Sciences Tools & Services","2026-08-15T18:16:03Z","wikipedia"
"APD","Air Products","NYSE","Materials","Industrial Gases","2026-08-15T18:16:03Z","wikipedia"
"ABNB","Airbnb","NASDAQ","Consumer Discretionary","Hotels, Resorts & Cruise Lines","2026-08-15T18:16:03Z","wikipedia"
"AKAM","Akamai Technologies","NASDAQ","Information Technology","Internet Services & Infrastructure","2026-08-15T18:16:03Z","wikipedia"
"ALB","Albemarle Corporation","NYSE","Materials","Specialty Chemicals","2026-08-15T18:16:03Z","wikipedia"
"ARE","Alexandria Real Estate Equities","NYSE","Real Estate","Office REITs","2026-08-15T18:16:03Z","wikipedia"
"ALGN","Align Technology","NASDAQ","Health Care","Health Care Supplies","2026-08-15T18:16:03Z","wikipedia"
"ALLE","Allegion","NYSE","Industrials","Building Products","2026-08-15T18:16:03Z","wikipedia"
"LNT","Alliant Energy","NASDAQ","Utilities","Electric Utilities","2026-08-15T18:16:03Z","wikipedia"
"ALL","Allstate","NYSE","Financials","Property & Casualty Insurance","2026-08-15T18:16:03Z","wikipedia"
"GOOGL","Alphabet Inc. (Class A)","NASDAQ","Communication Services","Interactive Media & Services","2026-08-15T18:16:03Z","wikipedia"
"GOOG","Alphabet Inc. (Class C)","NASDAQ","Communication Services","Interactive Media & Services","2026-08-15T18:16:03Z","wikipedia"
"MO","Altria","NYSE","Consumer Staples","Tobacco","2026-08-15T18:16:03Z","wikipedia"
"AMZN","Amazon","NASDAQ","Consumer Discretionary","Broadline Retail","2026-08-15T18:16:03Z","wikipedia"
"AMCR","Amcor","NYSE","Materials","Paper & Plastic Packaging Products & Materials","2026-08-15T18:16:03Z","wikipedia"
"AEE","Ameren","NYSE","Utilities","Multi-Utilities","2026-08-15T18:16:03Z","wikipedia"
"AEP","American Electric Power","NASDAQ","Utilities","Electric Utilities","2026-08-15T18:16:03Z","wikipedia"
"AXP","American Express","NYSE","Financials","Consumer Finance","2026-08-15T18:16:03Z","wikipedia"
"AIG","American International Group","NYSE","Financials","Multi-line Insurance","2026-08-15T18:16:03Z","wikipedia"
"AMT","American Tower","NYSE","Real Estate","Telecom Tower REITs","2026-08-15T18:16:03Z","wikipedia"
"AWK","American Water Works","NYSE","Utilities","Water Utilities","2026-08-15T18:16:03Z","wikipedia"
"AMP","Ameriprise Financial","NYSE","Financials","Asset Management & Custody Banks","2026-08-15T18:16:03Z","wikipedia"
"AME","Ametek","NYSE","Industrials","Electrical Components & Equipment","2026-08-15T18:16:03Z","wikipedia"
"AMGN","Amgen","NASDAQ","Health Care","Biotechnology","2026-08-15T18:16:03Z","wikipedia"
"APH","Amphenol","NYSE","Information Technology","Electronic Components","2026-08-15T18:16:03Z","wikipedia"
"ADI","Analog Devices","NASDAQ","Information Technology","Semiconductors","2026-08-15T18:16:03Z","wikipedia"
"AON","Aon plc","NYSE","Financials","Insurance Brokers","2026-08-15T18:16:03Z","wikipedia"
"APA","APA Corporation","NASDAQ","Energy","Oil & Gas Exploration & Production","2026-08-15T18:16:03Z","wikipedia"
"APO","Apollo Global Management","NYSE","Financials","Asset Management & Custody Banks","2026-08-15T18:16:03Z","wikipedia"
"AAPL","Apple Inc.","NASDAQ","Information Technology","Technology Hardware, Storage & Peripherals","2026-08-15T18:16:03Z","wikipedia"
