"ticker","name","exchange","industry_raw","industry_key","fetched_at","source"
"NVDA","NVIDIA CORP","NASDAQ",NA,"sc.IC_Design","2026-09-20T13:30:43Z","sec-exchange"
"AAPL","Apple Inc.","NASDAQ",NA,"tech.Hardware","2026-09-20T13:30:43Z","sec-exchange"
"GOOGL","Alphabet Inc.","NASDAQ",NA,"tech.Internet_Platform","2026-09-20T13:30:43Z","sec-exchange"
"MSFT","MICROSOFT CORP","NASDAQ",NA,"tech.Software","2026-09-20T13:30:43Z","sec-exchange"
"AMZN","AMAZON COM INC","NASDAQ",NA,"ecr.Ecommerce_Retail","2026-09-20T13:30:43Z","sec-exchange"
"META","Meta Platforms, Inc.","NASDAQ",NA,"tech.Internet_Platform","2026-09-20T13:30:43Z","sec-exchange"
"AVGO","Broadcom Inc.","NASDAQ",NA,"sc.IC_Design","2026-09-20T13:30:43Z","sec-exchange"
"TSLA","Tesla, Inc.","NASDAQ",NA,"auto.Automotive_EV","2026-09-20T13:30:43Z","sec-exchange"
"MU","MICRON TECHNOLOGY INC","NASDAQ",NA,"sc.Memory","2026-09-20T13:30:43Z","sec-exchange"
"BRK-B","BERKSHIRE HATHAWAY INC","NYSE",NA,"fn.Conglomerate_Holding","2026-09-20T13:30:43Z","sec-exchange"
"LLY","ELI LILLY & Co","NYSE",NA,"hc.Pharma","2026-09-20T13:30:43Z","sec-exchange"
"JPM","JPMORGAN CHASE & CO","NYSE",NA,"fn.Banking","2026-09-20T13:30:43Z","sec-exchange"
"AMD","ADVANCED MICRO DEVICES INC","NASDAQ",NA,"sc.IC_Design","2026-09-20T13:30:43Z","sec-exchange"
"WMT","Walmart Inc.","NASDAQ",NA,"retail.Brick_Mortar","2026-09-20T13:30:43Z","sec-exchange"
"V","VISA INC.","NYSE",NA,"fn.Fintech","2026-09-20T13:30:43Z","sec-exchange"
"XOM","ExxonMobil Holdings Corp","NYSE",NA,"en.Energy_OilGas","2026-09-20T13:30:43Z","sec-exchange"
"JNJ","JOHNSON & JOHNSON","NYSE",NA,"hc.Pharma","2026-09-20T13:30:43Z","sec-exchange"
"ASML","ASML HOLDING NV","NASDAQ",NA,"lab.Unmapped","2026-09-20T13:30:43Z","sec-exchange"
"INTC","INTEL CORP","NASDAQ",NA,"sc.IC_Design","2026-09-20T13:30:43Z","sec-exchange"
"MA","Mastercard Inc","NYSE",NA,"fn.Fintech","2026-09-20T13:30:43Z","sec-exchange"
"ABBV","AbbVie Inc.","NYSE",NA,"hc.Biotech","2026-09-20T13:30:43Z","sec-exchange"
"ORCL","ORACLE CORP","NYSE",NA,"saas.SaaS_Cloud","2026-09-20T13:30:43Z","sec-exchange"
"CSCO","CISCO SYSTEMS, INC.","NASDAQ",NA,"ec.Hardware","2026-09-20T13:30:43Z","sec-exchange"
"PLTR","Palantir Technologies Inc.","NASDAQ",NA,"saas.SaaS_Cloud","2026-09-20T13:30:43Z","sec-exchange"
"CVX","CHEVRON CORP","NYSE",NA,"en.Energy_OilGas","2026-09-20T13:30:43Z","sec-exchange"
"BAC","BANK OF AMERICA CORP /DE/","NYSE",NA,"fn.Banking","2026-09-20T13:30:43Z","sec-exchange"
"COST","COSTCO WHOLESALE CORP /NEW","NASDAQ",NA,"retail.Brick_Mortar","2026-09-20T13:30:43Z","sec-exchange"
"KO","COCA COLA CO","NYSE",NA,"fmcg.Food_Beverages","2026-09-20T13:30:43Z","sec-exchange"
"DELL","Dell Technologies Inc.","NYSE",NA,"tech.Hardware","2026-09-20T13:30:43Z","sec-exchange"
"CAT","CATERPILLAR INC","NYSE",NA,"ind.Machinery","2026-09-20T13:30:43Z","sec-exchange"
"MRK","Merck & Co., Inc.","NYSE",NA,"hc.Pharma","2026-09-20T13:30:43Z","sec-exchange"
"HSBC","HSBC HOLDINGS PLC","NYSE",NA,"lab.Unmapped","2026-09-20T13:30:43Z","sec-exchange"
"PG","PROCTER & GAMBLE Co","NYSE",NA,"fmcg.Health_Beauty","2026-09-20T13:30:43Z","sec-exchange"
"UNH","UNITEDHEALTH GROUP INC","NYSE",NA,"hc.Healthcare_Services","2026-09-20T13:30:43Z","sec-exchange"
"LRCX","LAM RESEARCH CORP","NASDAQ",NA,"sc.Equipment","2026-09-20T13:30:43Z","sec-exchange"
"AMAT","APPLIED MATERIALS INC /DE","NASDAQ",NA,"sc.Equipment","2026-09-20T13:30:43Z","sec-exchange"
"GE","GENERAL ELECTRIC CO","NYSE",NA,"ind.Aerospace_Defense","2026-09-20T13:30:43Z","sec-exchange"
"MS","MORGAN STANLEY","NYSE",NA,"fn.Investment_Banking","2026-09-20T13:30:43Z","sec-exchange"
"NFLX","NETFLIX INC","NASDAQ",NA,"media.Entertainment","2026-09-20T13:30:43Z","sec-exchange"
"PANW","Palo Alto Networks Inc","NASDAQ",NA,"tech.Software","2026-09-20T13:30:43Z","sec-exchange"
"HD","HOME DEPOT, INC.","NYSE",NA,"retail.Brick_Mortar","2026-09-20T13:30:43Z","sec-exchange"
