"Breakdown","12/31/2025","12/31/2024","12/31/2023","12/31/2022"
"Total Assets","818,042,000","624,894,000","527,854,000","462,675,000"
"Current Assets","229,083,000","190,867,000","172,351,000","146,791,000"
"Cash, Cash Equivalents & Short Term Investments","123,029,000","101,202,000","86,780,000","70,026,000"
"Cash And Cash Equivalents","86,810,000","78,779,000","73,387,000","53,888,000"
"Other Short Term Investments","36,219,000","22,423,000","13,393,000","16,138,000"
"Receivables","67,729,000","55,451,000","52,253,000","42,360,000"
"Accounts receivable","67,729,000","55,451,000","52,253,000","42,360,000"
"Gross Accounts Receivable","70,129,000","57,451,000","53,953,000","43,760,000"
"Allowance For Doubtful Accounts Receivable","-2,400,000","-2,000,000","-1,700,000","-1,400,000"
"Inventory","38,325,000","34,214,000","33,318,000","34,405,000"
"Other Inventories","41,625,000","37,214,000","36,318,000","37,205,000"
"Inventories Adjustments Allowances","-3,300,000","-3,000,000","-3,000,000","-2,800,000"
"Total non-current assets","588,959,000","434,027,000","355,503,000","315,884,000"
"Net PPE","443,079,000","328,806,000","276,690,000","252,838,000"
"Gross PPE","620,152,000","470,196,000","396,801,000","349,853,000"
"Properties","155,121,000","123,039,000","105,293,000","91,650,000"
"Land And Improvements","--","--","105,293,000","91,650,000"
"Other Properties","393,286,000","300,521,000","262,668,000","228,183,000"
"Construction in Progress","71,745,000","46,636,000","28,840,000","30,020,000"
"Accumulated Depreciation","-177,073,000","-141,390,000","-120,111,000","-97,015,000"
"Goodwill And Other Intangible Assets","32,470,000","31,676,000","30,476,000","26,385,000"
"Goodwill","23,273,000","23,074,000","22,789,000","20,288,000"
"Other Intangible Assets","9,197,000","8,602,000","7,687,000","6,097,000"
"Other Non Current Assets","113,410,000","73,545,000","48,337,000","36,661,000"
"Total Liabilities Net Minority Interest","406,977,000","338,924,000","325,979,000","316,632,000"
"Current Liabilities","218,005,000","179,431,000","164,917,000","155,393,000"
"Payables And Accrued Expenses","197,429,000","161,328,000","149,690,000","142,166,000"
"Payables","121,909,000","94,363,000","84,981,000","79,600,000"
"Accounts Payable","121,909,000","94,363,000","84,981,000","79,600,000"
"Current Accrued Expenses","75,520,000","66,965,000","64,709,000","62,566,000"
"Current Deferred Liabilities","20,576,000","18,103,000","15,227,000","13,227,000"
"Current Deferred Revenue","20,576,000","18,103,000","15,227,000","13,227,000"
"Total Non Current Liabilities Net Minority Interest","188,972,000","159,493,000","161,062,000","161,239,000"
"Long Term Debt And Capital Lease Obligation","152,987,000","130,900,000","135,611,000","140,118,000"
"Long Term Debt","65,648,000","52,623,000","58,314,000","67,150,000"
"Long Term Capital Lease Obligation","87,339,000","78,277,000","77,297,000","72,968,000"
"Other Non Current Liabilities","35,985,000","28,593,000","25,451,000","21,121,000"
"Total Equity Gross Minority Interest","411,065,000","285,970,000","201,875,000","146,043,000"
"Stockholders' Equity","411,065,000","285,970,000","201,875,000","146,043,000"
"Capital Stock","112,000","111,000","109,000","108,000"
"Preferred Stock","0","0","0","0"
"Common Stock","112,000","111,000","109,000","108,000"
"Additional Paid in Capital","140,024,000","120,864,000","99,025,000","75,066,000"
"Retained Earnings","250,536,000","172,866,000","113,618,000","83,193,000"
"Treasury Stock","7,837,000","7,837,000","7,837,000","7,837,000"
"Gains Losses Not Affecting Retained Earnings","28,230,000","-34,000","-3,040,000","-4,487,000"
"Other Equity Adjustments","28,230,000","-34,000","-3,040,000","-4,487,000"
"Total Capitalization","476,713,000","338,593,000","260,189,000","213,193,000"
"Common Stock Equity","411,065,000","285,970,000","201,875,000","146,043,000"
"Capital Lease Obligations","87,339,000","78,277,000","77,297,000","72,968,000"
"Net Tangible Assets","378,595,000","254,294,000","171,399,000","119,658,000"
"Working Capital","11,078,000","11,436,000","7,434,000","-8,602,000"
"Invested Capital","476,713,000","338,593,000","260,189,000","213,193,000"
"Tangible Book Value","378,595,000","254,294,000","171,399,000","119,658,000"
"Total Debt","152,987,000","130,900,000","135,611,000","140,118,000"
"Net Debt","--","--","--","13,262,000"
"Share Issued","11,246,000","11,108,000","10,898,000","10,757,000"
"Ordinary Shares Number","10,731,000","10,593,000","10,383,000","10,242,000"
"Treasury Shares Number","515,000","515,000","515,000","515,000"
