"Breakdown","TTM","12/31/2025","12/31/2024","12/31/2023","12/31/2022"
"Operating Cash Flow","148,531,000","139,514,000","115,877,000","84,946,000","46,752,000"
"Cash Flow from Continuing Operating Activities","148,531,000","139,514,000","115,877,000","84,946,000","46,752,000"
"Net Income from Continuing Operations","90,798,000","77,670,000","59,248,000","30,425,000","-2,722,000"
"Depreciation Amortization Depletion","70,439,000","65,756,000","52,795,000","48,663,000","41,921,000"
"Depreciation & amortization","70,439,000","65,756,000","52,795,000","48,663,000","41,921,000"
"Deferred Tax","23,761,000","11,470,000","-4,648,000","-5,876,000","-8,148,000"
"Deferred Income Tax","23,761,000","11,470,000","-4,648,000","-5,876,000","-8,148,000"
"Stock based compensation","19,810,000","19,467,000","22,011,000","24,023,000","19,621,000"
"Other non-cash items","-27,695,000","-14,880,000","2,012,000","-748,000","16,966,000"
"Change in working capital","-28,582,000","-19,969,000","-15,541,000","-11,541,000","-20,886,000"
"Change in Receivables","-14,330,000","-7,333,000","-3,249,000","-8,348,000","-8,622,000"
"Changes in Account Receivables","-14,330,000","-7,333,000","-3,249,000","-8,348,000","-8,622,000"
"Change in Inventory","-158,000","-3,002,000","-1,884,000","1,449,000","-2,592,000"
"Change in Payables And Accrued Expense","2,534,000","6,212,000","68,000","3,045,000","1,387,000"
"Change in Payable","11,537,000","11,231,000","2,972,000","5,473,000","2,945,000"
"Change in Account Payable","11,537,000","11,231,000","2,972,000","5,473,000","2,945,000"
"Change in Accrued Expense","-9,003,000","-5,019,000","-2,904,000","-2,428,000","-1,558,000"
"Change in Other Current Assets","-16,041,000","-15,632,000","-14,483,000","-12,265,000","-13,275,000"
"Change in Other Working Capital","-587,000","-214,000","4,007,000","4,578,000","2,216,000"
"Investing Cash Flow","-176,954,000","-142,545,000","-94,342,000","-49,833,000","-37,601,000"
"Cash Flow from Continuing Investing Activities","-176,954,000","-142,545,000","-94,342,000","-49,833,000","-37,601,000"
"Net PPE Purchase And Sale","-147,299,000","-128,320,000","-77,658,000","-48,133,000","-58,321,000"
"Purchase of PPE","-151,003,000","-131,819,000","-82,999,000","-52,729,000","-63,645,000"
"Sale of PPE","3,704,000","3,499,000","5,341,000","4,596,000","5,324,000"
"Net Business Purchase And Sale","-19,297,000","-3,841,000","-7,082,000","-5,839,000","-8,316,000"
"Purchase of Business","-4,809,000","-3,841,000","-7,082,000","-5,839,000","-8,316,000"
"Net Investment Purchase And Sale","-10,358,000","-10,384,000","-9,602,000","4,139,000","29,036,000"
"Purchase of Investment","-64,693,000","-54,770,000","-26,005,000","-1,488,000","-2,565,000"
"Sale of Investment","54,335,000","44,386,000","16,403,000","5,627,000","31,601,000"
"Financing Cash Flow","62,475,000","9,661,000","-11,812,000","-15,879,000","9,718,000"
"Cash Flow from Continuing Financing Activities","62,475,000","9,661,000","-11,812,000","-15,879,000","9,718,000"
"Net Issuance Payments of Debt","62,475,000","9,661,000","-11,812,000","-15,879,000","15,718,000"
"Net Long Term Debt Issuance","61,405,000","8,767,000","-11,894,000","-8,331,000","11,719,000"
"Long Term Debt Issuance","68,368,000","15,673,000","0","0","21,166,000"
"Long Term Debt Payments","-6,963,000","-6,906,000","-11,894,000","-8,331,000","-9,447,000"
"Net Short Term Debt Issuance","1,070,000","894,000","82,000","-7,548,000","3,999,000"
"Short Term Debt Issuance","13,523,000","9,320,000","5,142,000","18,129,000","41,553,000"
"Short Term Debt Payments","-12,453,000","-8,426,000","-5,060,000","-25,677,000","-37,554,000"
"Net Common Stock Issuance","--","--","0","0","-6,000,000"
"Common Stock Payments","--","--","0","0","-6,000,000"
"Net Other Financing Charges","--","--","--","-271,000","-248,000"
"End Cash Position","103,945,000","90,106,000","82,312,000","73,890,000","54,253,000"
"Changes in Cash","34,052,000","6,630,000","9,723,000","19,234,000","18,869,000"
"Effect of Exchange Rate Changes","747,000","1,164,000","-1,301,000","403,000","-1,093,000"
"Beginning Cash Position","69,893,000","82,312,000","73,890,000","54,253,000","36,477,000"
"Income Tax Paid Supplemental Data","8,741,000","8,295,000","12,308,000","11,179,000","6,035,000"
"Interest Paid Supplemental Data","2,039,000","1,949,000","2,364,000","3,112,000","2,142,000"
"Capital Expenditure","-151,003,000","-131,819,000","-82,999,000","-52,729,000","-63,645,000"
"Issuance of Debt","81,891,000","24,993,000","5,142,000","18,129,000","62,719,000"
"Repayment of Debt","-19,416,000","-15,332,000","-16,954,000","-34,008,000","-47,001,000"
"Repurchase of Capital Stock","--","--","0","0","-6,000,000"
"Free Cash Flow","-2,472,000","7,695,000","32,878,000","32,217,000","-16,893,000"
