"Breakdown","TTM","12/31/2025","12/31/2024","12/31/2023","12/31/2022"
"Total Revenue","742,776,000","716,924,000","637,959,000","574,785,000","513,983,000"
"Operating Revenue","742,776,000","716,924,000","637,959,000","574,785,000","513,983,000"
"Cost of Revenue","366,901,000","356,414,000","326,288,000","304,739,000","288,831,000"
"Gross Profit","375,875,000","360,510,000","311,671,000","270,046,000","225,152,000"
"Operating Expense","290,453,000","280,535,000","243,078,000","233,194,000","212,904,000"
"Selling General and Administrative","58,811,000","58,301,000","55,266,000","56,186,000","54,129,000"
"General & Administrative Expense","11,131,000","11,172,000","11,359,000","11,816,000","11,891,000"
"Other G and A","11,131,000","11,172,000","11,359,000","11,816,000","11,891,000"
"Selling & Marketing Expense","47,680,000","47,129,000","43,907,000","44,370,000","42,238,000"
"Other Operating Expenses","231,642,000","222,234,000","187,812,000","177,008,000","158,775,000"
"Operating Income","85,422,000","79,975,000","68,593,000","36,852,000","12,248,000"
"Net Non Operating Interest Income Expense","1,917,000","2,107,000","2,271,000","-233,000","-1,378,000"
"Interest Income Non Operating","4,450,000","4,381,000","4,677,000","2,949,000","989,000"
"Interest Expense Non Operating","2,533,000","2,274,000","2,406,000","3,182,000","2,367,000"
"Other Income Expense","28,127,000","15,229,000","-2,250,000","938,000","-16,806,000"
"Gain on Sale of Security","28,218,000","15,320,000","-1,836,000","1,050,000","-16,266,000"
"Other Non Operating Income Expenses","-91,000","-91,000","-414,000","-112,000","-540,000"
"Pretax Income","115,466,000","97,311,000","68,614,000","37,557,000","-5,936,000"
"Tax Provision","24,094,000","19,087,000","9,265,000","7,120,000","-3,217,000"
"Earnings from Equity Interest Net of Tax","-574,000","-554,000","-101,000","-12,000","-3,000"
"Net Income Common Stockholders","90,798,000","77,670,000","59,248,000","30,425,000","-2,722,000"
"Net Income","90,798,000","77,670,000","59,248,000","30,425,000","-2,722,000"
"Net Income Including Non-Controlling Interests","90,798,000","77,670,000","59,248,000","30,425,000","-2,722,000"
"Net Income Continuous Operations","90,798,000","77,670,000","59,248,000","30,425,000","-2,722,000"
"Diluted NI Available to Com Stockholders","90,798,000","77,670,000","59,248,000","30,425,000","-2,722,000"
"Basic EPS","8.49","7.29","5.66","2.95","-0.27"
"Diluted EPS","8.36","7.17","5.53","2.90","-0.27"
"Basic Average Shares","10,691,000","10,656,000","10,473,000","10,304,000","10,189,000"
"Diluted Average Shares","10,847,250","10,827,000","10,721,000","10,492,000","10,189,000"
"Total Operating Income as Reported","85,422,000","79,975,000","68,593,000","36,852,000","12,248,000"
"Total Expenses","657,354,000","636,949,000","569,366,000","537,933,000","501,735,000"
"Net Income from Continuing & Discontinued Operation","90,798,000","77,670,000","59,248,000","30,425,000","-2,722,000"
"Normalized Income","68,468,179.13","65,354,930.99","60,836,083.54","29,574,057.43","10,128,140"
"Interest Income","4,450,000","4,381,000","4,677,000","2,949,000","989,000"
"Interest Expense","2,533,000","2,274,000","2,406,000","3,182,000","2,367,000"
"Net Interest Income","1,917,000","2,107,000","2,271,000","-233,000","-1,378,000"
"EBIT","117,999,000","99,585,000","71,020,000","40,739,000","-3,569,000"
"EBITDA","188,438,000","165,341,000","123,815,000","89,402,000","38,352,000"
"Reconciled Cost of Revenue","366,901,000","356,414,000","326,288,000","304,739,000","288,831,000"
"Reconciled Depreciation","70,439,000","65,756,000","52,795,000","48,663,000","41,921,000"
"Net Income from Continuing Operation Net Minority Interest","90,798,000","77,670,000","59,248,000","30,425,000","-2,722,000"
"Total Unusual Items Excluding Goodwill","28,218,000","15,320,000","-1,836,000","1,050,000","-16,266,000"
"Total Unusual Items","28,218,000","15,320,000","-1,836,000","1,050,000","-16,266,000"
"Normalized EBITDA","160,220,000","150,021,000","125,651,000","88,352,000","54,618,000"
"Tax Rate for Calcs","0","0","0","0","0"
"Tax Effect of Unusual Items","5,888,179.13","3,004,930.99","-247,916.46","199,057.43","-3,415,860"
